#  Energy [MeV]      gamma [b]    neutron [b]     proton [b]      alpha [b]
   6.872978e+00   2.424434e-04   9.174258e-02   4.827833e-01   1.721308e-02
   7.090771e+00   2.456383e-04   1.024700e-01   4.853114e-01   2.297382e-02
   7.332595e+00   2.501203e-04   1.086853e-01   4.904430e-01   3.031148e-02
   7.601101e+00   2.546023e-04   1.121807e-01   4.965377e-01   3.931733e-02
   7.899232e+00   2.548791e-04   1.197283e-01   4.985421e-01   4.937694e-02
   8.230258e+00   2.568886e-04   1.251744e-01   5.006782e-01   6.078119e-02
   8.597809e+00   2.591962e-04   1.281136e-01   5.032382e-01   7.338006e-02
   9.005913e+00   2.616244e-04   1.326304e-01   5.032951e-01   8.614841e-02
   9.459047e+00   2.641235e-04   1.367347e-01   5.030975e-01   9.831888e-02
   9.962177e+00   2.687076e-04   1.377675e-01   5.053743e-01   1.094768e-01
   1.052082e+01   2.742297e-04   1.374179e-01   5.087579e-01   1.194082e-01
   1.114110e+01   2.801031e-04   1.363536e-01   5.122883e-01   1.284945e-01
   1.182983e+01   2.844202e-04   1.368436e-01   5.134803e-01   1.370109e-01
   1.438640e+01   2.825618e-04   1.449123e-01   5.135967e-01   1.502537e-01
   1.788604e+01   2.896291e-04   1.614428e-01   5.118259e-01   1.435952e-01
   2.091001e+01   2.904001e-04   1.751777e-01   5.017450e-01   1.389022e-01
