#  Energy [MeV]      gamma [b]    neutron [b]     proton [b]      alpha [b]
   8.895633e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.008801e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.131389e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.264180e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.408023e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.563839e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.732625e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   9.915459e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.011351e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.032805e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.056044e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.081218e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.108487e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.138025e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.170023e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.204683e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.242229e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.282899e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.326955e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.374677e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.426372e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.482370e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.543028e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.608735e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.679911e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.757012e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.840530e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   1.930999e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   2.028999e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   2.135155e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
