# fe1_the_011_024_photoabs_h_SMLO.dat                    
#
# Z = 11, A = 24
#
# Parameters:  Er1 = 18.198,  Wr1 =  5.718,  S1 =   0.400,  Er2 = 24.290,  Wr2 =  7.415,  S2 =   0.800,  beta=  0.346
# No. of entries:  300
# Col 1: photon energy E in MeV
# Col 2-11: E1 photoabsorption PSF (fe1 in MeV^-3) for nucleus at the temperatures T=0-2 MeV
# Format: f9.3, 11e12.3
# Authors:  V.A.Plujko, O.M. Gorbachenko, K.M. Solodovnyk (TSNU)
#   E         T=0.0       T=0.2       T=0.4       T=0.6       T=0.8       T=1.0       T=1.2       T=1.4       T=1.6       T=1.8       T=2.0
    0.100   0.365E-12   0.166E-11   0.683E-11   0.192E-10   0.421E-10   0.791E-10   0.134E-09   0.209E-09   0.309E-09   0.436E-09   0.595E-09
    0.200   0.146E-11   0.322E-11   0.953E-11   0.233E-10   0.480E-10   0.871E-10   0.144E-09   0.222E-09   0.324E-09   0.455E-09   0.617E-09
    0.300   0.328E-11   0.533E-11   0.127E-10   0.280E-10   0.545E-10   0.956E-10   0.155E-09   0.235E-09   0.341E-09   0.475E-09   0.641E-09
    0.400   0.584E-11   0.808E-11   0.165E-10   0.332E-10   0.615E-10   0.105E-09   0.166E-09   0.250E-09   0.358E-09   0.495E-09   0.665E-09
    0.500   0.913E-11   0.115E-10   0.208E-10   0.390E-10   0.690E-10   0.114E-09   0.178E-09   0.264E-09   0.376E-09   0.517E-09   0.690E-09
    0.600   0.132E-10   0.157E-10   0.258E-10   0.453E-10   0.771E-10   0.125E-09   0.191E-09   0.280E-09   0.394E-09   0.538E-09   0.715E-09
    0.700   0.179E-10   0.205E-10   0.314E-10   0.523E-10   0.859E-10   0.135E-09   0.204E-09   0.296E-09   0.414E-09   0.561E-09   0.741E-09
    0.800   0.234E-10   0.262E-10   0.377E-10   0.599E-10   0.952E-10   0.147E-09   0.218E-09   0.313E-09   0.433E-09   0.584E-09   0.768E-09
    0.900   0.297E-10   0.326E-10   0.447E-10   0.682E-10   0.105E-09   0.159E-09   0.233E-09   0.330E-09   0.454E-09   0.608E-09   0.796E-09
    1.000   0.367E-10   0.398E-10   0.525E-10   0.771E-10   0.116E-09   0.172E-09   0.248E-09   0.348E-09   0.475E-09   0.633E-09   0.825E-09
    1.100   0.444E-10   0.478E-10   0.610E-10   0.868E-10   0.127E-09   0.185E-09   0.264E-09   0.367E-09   0.497E-09   0.659E-09   0.854E-09
    1.200   0.529E-10   0.565E-10   0.703E-10   0.972E-10   0.139E-09   0.200E-09   0.281E-09   0.387E-09   0.520E-09   0.685E-09   0.885E-09
    1.300   0.622E-10   0.660E-10   0.803E-10   0.108E-09   0.152E-09   0.215E-09   0.298E-09   0.407E-09   0.544E-09   0.712E-09   0.916E-09
    1.400   0.722E-10   0.763E-10   0.912E-10   0.120E-09   0.166E-09   0.230E-09   0.317E-09   0.428E-09   0.568E-09   0.740E-09   0.948E-09
    1.500   0.830E-10   0.874E-10   0.103E-09   0.133E-09   0.180E-09   0.247E-09   0.336E-09   0.450E-09   0.594E-09   0.769E-09   0.981E-09
    1.600   0.946E-10   0.993E-10   0.115E-09   0.147E-09   0.195E-09   0.264E-09   0.355E-09   0.473E-09   0.620E-09   0.799E-09   0.101E-08
    1.700   0.107E-09   0.112E-09   0.129E-09   0.161E-09   0.211E-09   0.282E-09   0.376E-09   0.497E-09   0.647E-09   0.830E-09   0.105E-08
    1.800   0.120E-09   0.125E-09   0.143E-09   0.176E-09   0.228E-09   0.301E-09   0.398E-09   0.521E-09   0.675E-09   0.862E-09   0.109E-08
    1.900   0.134E-09   0.140E-09   0.158E-09   0.192E-09   0.246E-09   0.321E-09   0.420E-09   0.546E-09   0.704E-09   0.894E-09   0.112E-08
    2.000   0.149E-09   0.155E-09   0.173E-09   0.209E-09   0.264E-09   0.341E-09   0.443E-09   0.573E-09   0.733E-09   0.928E-09   0.116E-08
    2.100   0.165E-09   0.171E-09   0.190E-09   0.227E-09   0.284E-09   0.363E-09   0.467E-09   0.600E-09   0.764E-09   0.963E-09   0.120E-08
    2.200   0.181E-09   0.187E-09   0.208E-09   0.245E-09   0.304E-09   0.385E-09   0.492E-09   0.628E-09   0.796E-09   0.998E-09   0.124E-08
    2.300   0.198E-09   0.205E-09   0.226E-09   0.265E-09   0.325E-09   0.408E-09   0.518E-09   0.657E-09   0.828E-09   0.103E-08   0.128E-08
    2.400   0.216E-09   0.223E-09   0.245E-09   0.285E-09   0.347E-09   0.433E-09   0.545E-09   0.687E-09   0.862E-09   0.107E-08   0.132E-08
    2.500   0.235E-09   0.243E-09   0.265E-09   0.307E-09   0.370E-09   0.458E-09   0.573E-09   0.718E-09   0.897E-09   0.111E-08   0.137E-08
    2.600   0.255E-09   0.263E-09   0.287E-09   0.329E-09   0.394E-09   0.484E-09   0.602E-09   0.750E-09   0.932E-09   0.115E-08   0.141E-08
    2.700   0.276E-09   0.284E-09   0.308E-09   0.352E-09   0.419E-09   0.511E-09   0.632E-09   0.783E-09   0.969E-09   0.119E-08   0.146E-08
