# fe1_the_013_022_photoabs_h_SMLO.dat                    
#
# Z = 13, A = 22
#
# Parameters:  Er1 = 18.889,  Wr1 =  5.913,  S1 =   0.400,  Er2 = 24.105,  Wr2 =  7.365,  S2 =   0.800,  beta=  0.291
# No. of entries:  300
# Col 1: photon energy E in MeV
# Col 2-11: E1 photoabsorption PSF (fe1 in MeV^-3) for nucleus at the temperatures T=0-2 MeV
# Format: f9.3, 11e12.3
# Authors:  V.A.Plujko, O.M. Gorbachenko, K.M. Solodovnyk (TSNU)
#   E         T=0.0       T=0.2       T=0.4       T=0.6       T=0.8       T=1.0       T=1.2       T=1.4       T=1.6       T=1.8       T=2.0
    0.100   0.301E-12   0.135E-11   0.549E-11   0.154E-10   0.337E-10   0.632E-10   0.107E-09   0.167E-09   0.246E-09   0.348E-09   0.475E-09
    0.200   0.120E-11   0.263E-11   0.771E-11   0.188E-10   0.385E-10   0.697E-10   0.115E-09   0.177E-09   0.259E-09   0.363E-09   0.493E-09
    0.300   0.271E-11   0.437E-11   0.103E-10   0.226E-10   0.437E-10   0.766E-10   0.124E-09   0.188E-09   0.273E-09   0.379E-09   0.512E-09
    0.400   0.482E-11   0.663E-11   0.134E-10   0.268E-10   0.494E-10   0.840E-10   0.133E-09   0.200E-09   0.286E-09   0.396E-09   0.531E-09
    0.500   0.753E-11   0.945E-11   0.170E-10   0.315E-10   0.556E-10   0.918E-10   0.143E-09   0.212E-09   0.301E-09   0.413E-09   0.551E-09
    0.600   0.109E-10   0.129E-10   0.210E-10   0.367E-10   0.622E-10   0.100E-09   0.153E-09   0.224E-09   0.316E-09   0.431E-09   0.572E-09
    0.700   0.148E-10   0.169E-10   0.256E-10   0.424E-10   0.693E-10   0.109E-09   0.164E-09   0.237E-09   0.331E-09   0.449E-09   0.593E-09
    0.800   0.193E-10   0.215E-10   0.308E-10   0.486E-10   0.770E-10   0.118E-09   0.175E-09   0.251E-09   0.347E-09   0.468E-09   0.615E-09
    0.900   0.245E-10   0.268E-10   0.366E-10   0.554E-10   0.851E-10   0.128E-09   0.187E-09   0.265E-09   0.364E-09   0.487E-09   0.637E-09
    1.000   0.302E-10   0.327E-10   0.429E-10   0.627E-10   0.939E-10   0.139E-09   0.200E-09   0.280E-09   0.381E-09   0.507E-09   0.660E-09
    1.100   0.366E-10   0.393E-10   0.499E-10   0.707E-10   0.103E-09   0.150E-09   0.213E-09   0.295E-09   0.399E-09   0.528E-09   0.684E-09
    1.200   0.436E-10   0.465E-10   0.575E-10   0.792E-10   0.113E-09   0.161E-09   0.226E-09   0.311E-09   0.418E-09   0.549E-09   0.709E-09
    1.300   0.513E-10   0.543E-10   0.658E-10   0.883E-10   0.123E-09   0.173E-09   0.240E-09   0.327E-09   0.437E-09   0.571E-09   0.734E-09
    1.400   0.595E-10   0.628E-10   0.747E-10   0.981E-10   0.135E-09   0.186E-09   0.255E-09   0.344E-09   0.456E-09   0.594E-09   0.760E-09
    1.500   0.684E-10   0.719E-10   0.843E-10   0.109E-09   0.146E-09   0.200E-09   0.271E-09   0.362E-09   0.477E-09   0.617E-09   0.786E-09
    1.600   0.780E-10   0.817E-10   0.945E-10   0.120E-09   0.159E-09   0.214E-09   0.287E-09   0.381E-09   0.498E-09   0.641E-09   0.814E-09
    1.700   0.882E-10   0.921E-10   0.105E-09   0.131E-09   0.172E-09   0.228E-09   0.304E-09   0.400E-09   0.520E-09   0.666E-09   0.842E-09
    1.800   0.990E-10   0.103E-09   0.117E-09   0.144E-09   0.185E-09   0.244E-09   0.321E-09   0.420E-09   0.542E-09   0.692E-09   0.871E-09
    1.900   0.110E-09   0.115E-09   0.129E-09   0.157E-09   0.200E-09   0.260E-09   0.339E-09   0.440E-09   0.566E-09   0.718E-09   0.900E-09
    2.000   0.123E-09   0.127E-09   0.142E-09   0.171E-09   0.215E-09   0.277E-09   0.358E-09   0.462E-09   0.590E-09   0.745E-09   0.931E-09
    2.100   0.135E-09   0.140E-09   0.156E-09   0.185E-09   0.231E-09   0.294E-09   0.378E-09   0.484E-09   0.615E-09   0.773E-09   0.962E-09
    2.200   0.149E-09   0.154E-09   0.170E-09   0.200E-09   0.247E-09   0.312E-09   0.398E-09   0.506E-09   0.640E-09   0.802E-09   0.994E-09
    2.300   0.163E-09   0.169E-09   0.185E-09   0.216E-09   0.264E-09   0.331E-09   0.419E-09   0.530E-09   0.666E-09   0.831E-09   0.103E-08
    2.400   0.178E-09   0.184E-09   0.201E-09   0.233E-09   0.282E-09   0.351E-09   0.441E-09   0.554E-09   0.694E-09   0.862E-09   0.106E-08
    2.500   0.194E-09   0.200E-09   0.218E-09   0.251E-09   0.301E-09   0.371E-09   0.463E-09   0.579E-09   0.722E-09   0.893E-09   0.110E-08
    2.600   0.210E-09   0.216E-09   0.235E-09   0.269E-09   0.321E-09   0.393E-09   0.487E-09   0.605E-09   0.751E-09   0.925E-09   0.113E-08
    2.700   0.227E-09   0.233E-09   0.253E-09   0.288E-09   0.341E-09   0.415E-09   0.511E-09   0.632E-09   0.780E-09   0.958E-09   0.117E-08
    2.800   0.245E-09   0.251E-09   0.272E-09   0.308E-09   0.362E-09   0.438E-09   0.536E-09   0.660E-09   0.811E-09   0.992E-09   0.121E-08
    2.900   0.263E-09   0.270E-09   0.291E-09   0.328E-09   0.384E-09   0.461E-09   0.562E-09   0.688E-09   0.842E-09   0.103E-08   0.125E-08
    3.000   0.283E-09   0.290E-09   0.311E-09   0.349E-09   0.407E-09   0.486E-09   0.589E-09   0.718E-09   0.875E-09   0.106E-08   0.128E-08
    3.100   0.303E-09   0.310E-09   0.332E-09   0.372E-09   0.430E-09   0.511E-09   0.616E-09   0.748E-09   0.908E-09   0.110E-08   0.133E-08
    3.200   0.323E-09   0.331E-09   0.354E-09   0.395E-09   0.455E-09   0.537E-09   0.645E-09   0.779E-09   0.943E-09   0.114E-08   0.137E-08
    3.300   0.345E-09   0.353E-09   0.377E-09   0.418E-09   0.480E-09   0.565E-09   0.674E-09   0.811E-09   0.978E-09   0.118E-08   0.141E-08
    3.400   0.368E-09   0.376E-09   0.400E-09   0.443E-09   0.506E-09   0.593E-09   0.705E-09   0.844E-09   0.101E-08   0.122E-08   0.145E-08
    3.500   0.391E-09   0.399E-09   0.425E-09   0.469E-09   0.533E-09   0.622E-09   0.736E-09   0.879E-09   0.105E-08   0.126E-08   0.150E-08
    3.600   0.415E-09   0.424E-09   0.450E-09   0.495E-09   0.561E-09   0.652E-09   0.768E-09   0.914E-09   0.109E-08   0.130E-08   0.155E-08
    3.700   0.440E-09   0.449E-09   0.476E-09   0.522E-09   0.590E-09   0.682E-09   0.802E-09   0.950E-09   0.113E-08   0.134E-08   0.159E-08
    3.800   0.466E-09   0.475E-09   0.503E-09   0.550E-09   0.620E-09   0.714E-09   0.836E-09   0.987E-09   0.117E-08   0.139E-08   0.164E-08
    3.900   0.492E-09   0.502E-09   0.531E-09   0.579E-09   0.651E-09   0.747E-09   0.871E-09   0.103E-08   0.121E-08   0.143E-08   0.169E-08
    4.000   0.520E-09   0.530E-09   0.559E-09   0.609E-09   0.682E-09   0.781E-09   0.908E-09   0.106E-08   0.125E-08   0.148E-08   0.174E-08
    4.100   0.548E-09   0.558E-09   0.589E-09   0.640E-09   0.715E-09   0.816E-09   0.945E-09   0.111E-08   0.130E-08   0.153E-08   0.179E-08
    4.200   0.578E-09   0.588E-09   0.619E-09   0.672E-09   0.749E-09   0.852E-09   0.984E-09   0.115E-08   0.134E-08   0.158E-08   0.185E-08
    4.300   0.608E-09   0.619E-09   0.651E-09   0.705E-09   0.784E-09   0.889E-09   0.102E-08   0.119E-08   0.139E-08   0.163E-08   0.190E-08
    4.400   0.639E-09   0.650E-09   0.684E-09   0.739E-09   0.820E-09   0.927E-09   0.106E-08   0.123E-08   0.144E-08   0.168E-08   0.196E-08
    4.500   0.672E-09   0.683E-09   0.717E-09   0.774E-09   0.856E-09   0.966E-09   0.111E-08   0.128E-08   0.149E-08   0.173E-08   0.202E-08
    4.600   0.705E-09   0.717E-09   0.752E-09   0.810E-09   0.894E-09   0.101E-08   0.115E-08   0.133E-08   0.154E-08   0.179E-08   0.208E-08
    4.700   0.739E-09   0.751E-09   0.787E-09   0.847E-09   0.934E-09   0.105E-08   0.119E-08   0.137E-08   0.159E-08   0.184E-08   0.214E-08
    4.800   0.775E-09   0.787E-09   0.824E-09   0.886E-09   0.974E-09   0.109E-08   0.124E-08   0.142E-08   0.164E-08   0.190E-08   0.220E-08
    4.900   0.811E-09   0.824E-09   0.862E-09   0.925E-09   0.102E-08   0.113E-08   0.129E-08   0.147E-08   0.170E-08   0.196E-08   0.226E-08
    5.000   0.849E-09   0.862E-09   0.901E-09   0.966E-09   0.106E-08   0.118E-08   0.133E-08   0.152E-08   0.175E-08   0.202E-08   0.233E-08
    5.100   0.888E-09   0.901E-09   0.941E-09   0.101E-08   0.110E-08   0.123E-08   0.138E-08   0.158E-08   0.181E-08   0.208E-08   0.240E-08
    5.200   0.928E-09   0.941E-09   0.982E-09   0.105E-08   0.115E-08   0.127E-08   0.143E-08   0.163E-08   0.187E-08   0.214E-08   0.246E-08
