# fe1_the_023_045_photoabs_h_SMLO.dat                    
#
# Z = 23, A = 45
#
# Parameters:  Er1 = 19.541,  Wr1 =  6.097,  S1 =   1.200,  beta=  0.000
# No. of entries:  300
# Col 1: photon energy E in MeV
# Col 2-11: E1 photoabsorption PSF (fe1 in MeV^-3) for nucleus at the temperatures T=0-2 MeV
# Format: f9.3, 11e12.3
# Authors:  V.A.Plujko, O.M. Gorbachenko, K.M. Solodovnyk (TSNU)
#   E         T=0.0       T=0.2       T=0.4       T=0.6       T=0.8       T=1.0       T=1.2       T=1.4       T=1.6       T=1.8       T=2.0
    0.100   0.957E-12   0.440E-11   0.183E-10   0.516E-10   0.113E-09   0.213E-09   0.360E-09   0.563E-09   0.832E-09   0.118E-08   0.160E-08
    0.200   0.383E-11   0.850E-11   0.254E-10   0.626E-10   0.129E-09   0.234E-09   0.388E-09   0.598E-09   0.875E-09   0.123E-08   0.167E-08
    0.300   0.861E-11   0.141E-10   0.339E-10   0.750E-10   0.146E-09   0.257E-09   0.417E-09   0.634E-09   0.919E-09   0.128E-08   0.173E-08
    0.400   0.153E-10   0.213E-10   0.438E-10   0.887E-10   0.165E-09   0.281E-09   0.447E-09   0.672E-09   0.965E-09   0.133E-08   0.179E-08
    0.500   0.239E-10   0.303E-10   0.553E-10   0.104E-09   0.185E-09   0.307E-09   0.479E-09   0.711E-09   0.101E-08   0.139E-08   0.186E-08
    0.600   0.345E-10   0.412E-10   0.683E-10   0.121E-09   0.206E-09   0.334E-09   0.513E-09   0.752E-09   0.106E-08   0.145E-08   0.193E-08
    0.700   0.470E-10   0.541E-10   0.831E-10   0.139E-09   0.229E-09   0.363E-09   0.548E-09   0.795E-09   0.111E-08   0.151E-08   0.200E-08
    0.800   0.614E-10   0.689E-10   0.997E-10   0.159E-09   0.254E-09   0.393E-09   0.585E-09   0.840E-09   0.117E-08   0.157E-08   0.207E-08
    0.900   0.778E-10   0.858E-10   0.118E-09   0.181E-09   0.281E-09   0.425E-09   0.624E-09   0.886E-09   0.122E-08   0.164E-08   0.214E-08
    1.000   0.962E-10   0.105E-09   0.139E-09   0.205E-09   0.309E-09   0.459E-09   0.665E-09   0.934E-09   0.128E-08   0.170E-08   0.222E-08
    1.100   0.116E-09   0.126E-09   0.161E-09   0.230E-09   0.339E-09   0.495E-09   0.707E-09   0.985E-09   0.134E-08   0.177E-08   0.230E-08
    1.200   0.139E-09   0.149E-09   0.185E-09   0.258E-09   0.371E-09   0.533E-09   0.752E-09   0.104E-08   0.140E-08   0.184E-08   0.238E-08
    1.300   0.163E-09   0.174E-09   0.212E-09   0.287E-09   0.405E-09   0.573E-09   0.798E-09   0.109E-08   0.146E-08   0.191E-08   0.246E-08
    1.400   0.189E-09   0.201E-09   0.240E-09   0.319E-09   0.441E-09   0.614E-09   0.847E-09   0.115E-08   0.152E-08   0.199E-08   0.255E-08
    1.500   0.218E-09   0.230E-09   0.271E-09   0.352E-09   0.479E-09   0.658E-09   0.897E-09   0.121E-08   0.159E-08   0.207E-08   0.264E-08
    1.600   0.248E-09   0.261E-09   0.304E-09   0.388E-09   0.519E-09   0.704E-09   0.950E-09   0.127E-08   0.166E-08   0.215E-08   0.273E-08
    1.700   0.281E-09   0.294E-09   0.339E-09   0.426E-09   0.561E-09   0.752E-09   0.100E-08   0.133E-08   0.173E-08   0.223E-08   0.282E-08
    1.800   0.315E-09   0.329E-09   0.376E-09   0.466E-09   0.606E-09   0.802E-09   0.106E-08   0.139E-08   0.181E-08   0.231E-08   0.292E-08
    1.900   0.352E-09   0.367E-09   0.415E-09   0.508E-09   0.652E-09   0.854E-09   0.112E-08   0.146E-08   0.188E-08   0.240E-08   0.301E-08
